sp_norm	ogt_tempura	tmin_measured	ogt_madin	ogt_toki	ogt_ogtfinder	ogt_ogtfinder_sources	ogt_n_sources	ogt_measured	ogt_spread
aeromonas media	22.0	4.0	29.0	22.0	25.0	Lyubetsky et al., 2020	4	24.5	7.0
aeromonas molluscorum	27.5	4.0	29.0				2	28.25	1.5
aeromonas piscicola	27.5	4.0	29.0	27.5			3	28.0	1.5
aeromonas popoffii			29.0		28.0	BacDive	2	28.5	1.0
aeromonas rivuli					30.0	BacDive	1	30.0	0.0
aeromonas salmonicida			27.6	22.7	23.5	Lyubetsky et al., 2020	3	24.599999999999998	4.900000000000002
aeromonas sanarellii				39.0	30.0	BacDive	2	34.5	9.0
aeromonas schubertii			29.0				1	29.0	0.0
aeromonas simiae					30.0	BacDive	1	30.0	0.0
aeromonas sobria			31.0				1	31.0	0.0
aeromonas taiwanensis			29.0		30.0	BacDive	2	29.5	1.0
aeromonas veronii			32.5	32.1665			2	32.33325	0.3335000000000008
aeropyrum camini	85.0	70.0	84.95		85.0	BacDive;ThermoBase	3	84.98333333333333	0.04999999999999716
aeropyrum pernix	92.5	70.0	90.0	91.08333333333331	95.0	ThermoBase	4	92.14583333333333	5.0
aestuariibacter halophilus					40.0	BacDive	1	40.0	0.0
aestuariibacter salexigens			33.0		35.0	BacDive	2	34.0	2.0
aestuariibaculum scopimerae	27.5	10.0					1	27.5	0.0
aestuariibaculum suncheonense	27.5	5.0		27.5			2	27.5	0.0
aestuariibius insulae	27.5	10.0					1	27.5	0.0
aestuariicella hydrocarbonica	22.5	10.0					1	22.5	0.0
aestuariimicrobium kwangyangense			29.0				1	29.0	0.0
aestuariivivens insulae	35.0	10.0					1	35.0	0.0
afifella marina				26.41666666666665			1	26.41666666666665	0.0
afifella pfennigii				32.5			1	32.5	0.0
afipia birgiae			27.0	23.333			2	25.1665	3.6670000000000016
afipia carboxidovorans					30.0	Lyubetsky et al., 2020	1	30.0	0.0
afipia clevelandensis			29.0				1	29.0	0.0
afipia felis				29.0			1	29.0	0.0
afipia massiliensis			27.0				1	27.0	0.0
afipia sp.			29.0				1	29.0	0.0
agaribacter marinus	26.5	4.0					1	26.5	0.0
agaribacterium haliotis	29.0	16.0		29.0			2	29.0	0.0
agaricicola taiwanensis	32.5	20.0		32.5			2	32.5	0.0
agarilytica rhodophyticola	30.5	15.0		30.5			2	30.5	0.0
agathobacter rectalis					37.0	Lyubetsky et al., 2020	1	37.0	0.0
aggregatibacter actinomycetemcomitans			36.0				1	36.0	0.0
